kalman,wavelet,crash,coupling,churn,was_buggy
6.314250684068948e-16,0.0007880672489176956,0.0,0.0,0.0900763358778626,0
1.893792880412163e-12,0.025823050689584667,0.010638297872340385,0.0,0.026503130628698857,0
0.0,0.0526577950509175,0.0,0.0,0.004519887505022097,0
1.3056364871051607e-22,0.028659157155507452,0.0,0.0,0.03119814138732161,0
3.042501240436947e-08,0.0457627170758105,0.0,0.0,0.007002987056090276,0
6.468474069144946e-15,0.03726532137059084,0.0,0.0,0.012506090628552865,0
0.0,0.039502570472770206,0.0,0.0,0.007633587786259542,0
0.0,0.0357652383529296,0.0,0.0,0.011068702290076336,0
1.5181876915592466e-12,0.029640379790426528,0.0,0.0,0.010711647377493229,0
8.518295267792785e-09,0.03320552713140158,0.0,0.0,0.004880490551870855,0
1.2927164848048544e-11,0.018225451370098882,0.0,0.0,0.024247867085765602,0
2.0085261830560014e-16,0.028482744625375117,0.0,0.0,0.007633587786259542,0
1.1931076356846145e-15,0.01881118709106115,0.0,0.0,0.00431463657484235,0
0.0,0.015868287868352437,0.0,0.0,0.008203258516577418,0
0.0,0.011259654646529246,0.0,0.0,0.007633587786259542,0
6.240363265695674e-15,0.006321641166920845,0.0,0.0,0.002290076335877863,0
4.615501072105537e-11,0.005164006001869435,0.0,0.0,0.002804175105156566,0
0.0,0.004993358587100901,0.0,0.0,0.002544529262086514,0
0.0,0.0035159516898706153,0.0,0.0,0.0022618037885213456,0
5.060046253553349e-08,0.003950641388301274,0.0,0.0,0.0011644455945141678,0
3.285590806318058e-22,0.00016603532247749298,0.0,0.0,0.005089058524173028,0
0.0,0.0,0.0,0.0,0.003816793893129771,0
0.0,0.00029363654252964036,0.0,0.0,0.002775850104094379,0
0.0,0.0008962832685590594,0.0,0.0,0.0011743981209630064,0
0.0,0.0011314999754021744,0.0,0.0,0.00054525627044711,0
0.0,0.0011314999754021744,0.0,0.0,0.00054525627044711,0
0.0,0.0004181630343877601,0.0,0.0,0.0012722646310432567,0
0.0,0.0008363260687755202,0.0,0.0,0.0,0
2.228052608062206e-14,0.00024597825552221184,0.0,0.0,0.0007633587786259541,0
2.228052608062206e-14,0.00024597825552221184,0.0,0.0,0.0007633587786259541,0
2.228052608062206e-14,0.00024597825552221184,0.0,0.0,0.0007633587786259541,0
2.228052608062206e-14,0.00024597825552221184,0.0,0.0,0.0007633587786259541,0
0.0,0.0005657499877010872,0.0,0.0,0.0,0
0.0,0.00017218477886554829,0.0,0.0,0.0,0
0.6268504001654389,1.0,0.0,0.23861566484517305,0.02726270004786581,0
1.0,0.07006757856801869,0.0,0.25500910746812383,0.021793704653921487,0
0.9203674669973047,0.07289852912905787,0.0,0.25500910746812383,0.04215713112510266,0
0.8418875174373595,0.021621094594358427,0.0,0.24772313296903456,0.07737932293092435,1
0.6268504001654389,0.20930407964097908,0.0,0.25500910746812383,0.04364466527899013,0
0.33333333333332377,0.36091480795710734,0.0,0.14389799635701273,0.0380845351813698,0
1.6792369813552252e-19,0.04726876565404593,0.0,0.14389799635701273,1.0,0
0.48821925622543555,0.055803138213670424,0.0,0.13479052823315116,0.043495452748121784,0
0.2935170668320423,0.19058775049922783,0.0,0.23132969034608378,0.04191379992091736,0
0.0,0.0,0.0,1.0,4.861637788538203e-05,0
